stage,batch,x1,x2,x3,x4
1,1,21.99,19.45,22.59,26.09
1,2,19.86,19.86,27.12,23.87
1,3,19.72,23.77,19.75,19.74
1,4,23.37,14.75,15.50,20.15
1,5,19.15,24.46,19.57,17.55
1,6,29.86,23.10,24.27,18.30
1,7,22.62,25.24,20.20,26.30
1,8,26.00,28.00,30.00,33.01
1,9,26.35,22.17,29.69,21.52
1,10,28.04,19.36,21.89,27.99
2,1,19.58,17.60,16.60,15.95
2,2,12.23,14.88,15.79,21.10
2,3,19.00,11.63,18.93,16.45
2,4,15.83,20.34,21.81,21.46
2,5,15.66,17.52,19.76,22.01
2,6,17.32,18.35,15.13,14.81
2,7,25.00,26.00,24.00,28.00
2,8,21.07,17.54,21.06,25.18
2,9,20.07,25.68,11.03,23.08
2,10,20.90,19.55,20.92,13.64
2,11,20.23,22.25,26.17,19.19
2,12,18.57,19.64,24.60,22.55
2,13,19.95,23.60,22.14,25.19
2,14,19.74,21.05,20.83,17.08
2,15,23.64,23.51,22.62,21.78
2,16,18.05,21.53,21.80,20.19
3,1,14.60,16.01,19.72,15.44
3,2,15.64,14.81,10.20,14.93
3,3,15.15,21.16,14.52,15.75
3,4,14.91,12.08,17.86,16.88
3,5,16.98,12.73,18.51,11.50
3,6,16.47,20.48,12.52,13.58
3,7,15.25,13.74,11.12,15.17
3,8,12.34,16.18,12.70,18.87
3,9,13.04,14.19,17.03,11.92
3,10,15.57,18.27,10.98,15.46
3,11,15.65,16.95,11.91,11.70
3,12,16.30,15.74,15.63,15.87
3,13,13.30,15.58,15.73,13.21
3,14,19.66,16.18,12.02,16.64
3,15,12.56,16.97,17.90,12.95
3,16,17.41,16.03,17.06,19.74
3,17,14.39,13.12,12.78,12.96
3,18,14.81,15.85,15.69,17.07
3,19,15.03,18.63,14.34,21.80
3,20,16.56,12.86,12.32,16.21
4,1,14.90,17.43,16.78,15.30
4,2,13.41,11.61,14.49,18.01
4,3,16.48,12.54,16.37,16.94
4,4,13.71,16.52,16.26,13.01
4,5,17.27,17.81,19.22,19.15
