"stage","group","xbar","center","LCL","UCL"
1,1,22.53,23.06,17.59,28.52
1,2,22.68,23.06,17.59,28.52
1,3,20.74,23.06,17.59,28.52
1,4,18.44,23.06,17.59,28.52
1,5,20.18,23.06,17.59,28.52
1,6,23.88,23.06,17.59,28.52
1,7,23.59,23.06,17.59,28.52
1,8,29.25,23.06,17.59,28.52
1,9,24.93,23.06,17.59,28.52
1,10,24.32,23.06,17.59,28.52
2,1,17.43,19.97,15.55,24.4
2,2,16,19.97,15.55,24.4
2,3,16.5,19.97,15.55,24.4
2,4,19.86,19.97,15.55,24.4
2,5,18.74,19.97,15.55,24.4
2,6,16.4,19.97,15.55,24.4
2,7,25.75,19.97,15.55,24.4
2,8,21.21,19.97,15.55,24.4
2,9,19.96,19.97,15.55,24.4
2,10,18.75,19.97,15.55,24.4
2,11,21.96,19.97,15.55,24.4
2,12,21.34,19.97,15.55,24.4
2,13,22.72,19.97,15.55,24.4
2,14,19.67,19.97,15.55,24.4
2,15,22.89,19.97,15.55,24.4
2,16,20.39,19.97,15.55,24.4
3,1,16.44,15.27,11.56,18.97
3,2,13.89,15.27,11.56,18.97
3,3,16.64,15.27,11.56,18.97
3,4,15.43,15.27,11.56,18.97
3,5,14.93,15.27,11.56,18.97
3,6,15.76,15.27,11.56,18.97
3,7,13.82,15.27,11.56,18.97
3,8,15.02,15.27,11.56,18.97
3,9,14.04,15.27,11.56,18.97
3,10,15.07,15.27,11.56,18.97
3,11,14.05,15.27,11.56,18.97
3,12,15.88,15.27,11.56,18.97
3,13,14.46,15.27,11.56,18.97
3,14,16.12,15.27,11.56,18.97
3,15,15.09,15.27,11.56,18.97
3,16,17.56,15.27,11.56,18.97
3,17,13.31,15.27,11.56,18.97
3,18,15.86,15.27,11.56,18.97
3,19,17.45,15.27,11.56,18.97
3,20,14.49,15.27,11.56,18.97
4,1,16.1,15.86,13.12,18.6
4,2,14.38,15.86,13.12,18.6
4,3,15.58,15.86,13.12,18.6
4,4,14.88,15.86,13.12,18.6
4,5,18.36,15.86,13.12,18.6
